"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Off-Highway","VA","51","Newport News city","700","PM2.5 Primary (Filt + Cond)","CAP","106.60862823391000005622202075681","TON"
"Miscellaneous","VA","51","Charles city","036","PM2.5 Primary (Filt + Cond)","CAP","106.49049139","TON"
"Storage & Transport","VA","51","Giles","071","PM2.5 Primary (Filt + Cond)","CAP","105.714922354","TON"
"Waste Disposal & Recycling","VA","51","Franklin","067","PM2.5 Primary (Filt + Cond)","CAP","104.7378","TON"
"Fuel Comb. Industrial","VA","51","Henry","089","PM2.5 Primary (Filt + Cond)","CAP","104.52725046","TON"
"Other Industrial Processes","VA","51","Halifax","083","PM2.5 Primary (Filt + Cond)","CAP","104.35494764","TON"
"Off-Highway","VA","51","Frederick","069","PM2.5 Primary (Filt + Cond)","CAP","103.2212230527180000026479","TON"
"Fuel Comb. Industrial","VA","51","King William","101","PM2.5 Primary (Filt + Cond)","CAP","103.013392137","TON"
"Fuel Comb. Other","VA","51","Albemarle","003","PM2.5 Primary (Filt + Cond)","CAP","100.43948","TON"
"Other Industrial Processes","VA","51","Chesapeake city","550","PM2.5 Primary (Filt + Cond)","CAP","100.126712528","TON"
"Fuel Comb. Other","VA","51","Hanover","085","PM2.5 Primary (Filt + Cond)","CAP","99.8861338","TON"
"Waste Disposal & Recycling","VA","51","Fauquier","061","PM2.5 Primary (Filt + Cond)","CAP","98.96451","TON"
"Fuel Comb. Industrial","VA","51","Accomack","001","PM2.5 Primary (Filt + Cond)","CAP","98.100966565","TON"
"Highway Vehicles","VA","51","Loudoun","107","PM2.5 Primary (Filt + Cond)","CAP","97.06839871","TON"
"Fuel Comb. Industrial","VA","51","Shenandoah","171","PM2.5 Primary (Filt + Cond)","CAP","96.57030063","TON"
"Fuel Comb. Industrial","VA","51","Salem city","775","PM2.5 Primary (Filt + Cond)","CAP","96.33862475","TON"
"Fuel Comb. Other","VA","51","Spotsylvania","177","PM2.5 Primary (Filt + Cond)","CAP","96.27714291","TON"
"Miscellaneous","VA","51","Newport News city","700","PM2.5 Primary (Filt + Cond)","CAP","96.2047184","TON"
"Miscellaneous","VA","51","Middlesex","119","PM2.5 Primary (Filt + Cond)","CAP","95.92921048","TON"
